ID,Track,Singer(s),Stream
415,Pray You Catch Me,Beyoncé,1992817
416,Daddy Lessons,Beyoncé,2651057
417,Freedom (feat. Kendrick Lamar),Beyoncé; Kendrick Lamar,1917981
418,All Night,Beyoncé,1925174
419,Sorry - Original Demo,Beyoncé,2385638
420,Love Drought,Beyoncé,1722872
421,Sandcastles,Beyoncé,1537738
422,Jenny of Oldstones (Game of Thrones),Florence + The Machine,1437457
423,Forward (feat. James Blake),Beyoncé; James Blake,684903
424,Truth Hurts,Lizzo,66449255
425,Goddamn (feat. A Boogie wit da Hoodie),Tyga; A Boogie Wit da Hoodie,2686793
426,Suge,DaBaby,47450746
427,ME! (feat. Brendon Urie of Panic! At The Disco),Taylor Swift; Brendon Urie; Panic! At The Disco,121397074
428,Light It Up (with Tyga & Chris Brown),Marshmello; Tyga; Chris Brown,23532642
429,Floating (feat. 21 Savage),ScHoolboy Q; 21 Savage,12004074
430,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Martin Garrix; Macklemore; Fall Out Boy,52331677
431,Drugs & The Internet,Lauv,13900116
432,Hurts 2B Human (feat. Khalid),P!nk; Khalid,5579926
433,Do You Mean,The Chainsmokers; Ty Dolla $ign; bülow,16337902
434,Vossi Bop,Stormzy,38369222
435,Next,Ufo361; RIN,3630181
436,Enzo (with Sheck Wes feat. Offset 21 Savage & Gucci Mane),DJ Snake; Sheck Wes; Offset; 21 Savage; Gucci Mane,4003930
437,Gang Gang,ScHoolboy Q,899757
438,CrasH,ScHoolboy Q,855453
439,Baila Baila Baila - Remix,Ozuna; Daddy Yankee; J Balvin; Farruko; Anuel AA,36658866
440,Dangerous (feat. Kid Cudi),ScHoolboy Q; Kid Cudi,821086
441,5200,ScHoolboy Q,815137
442,Tales,ScHoolboy Q,788434
443,Calipso (with Dardust) (feat. Sfera Ebbasta Mahmood & Fabri Fibra),Charlie Charles; Sfera Ebbasta; Mahmood; Fabri Fibra,776158
444,Drunk (feat. 6LACK),ScHoolboy Q; 6LACK,755508
445,Lies (feat. Ty Dolla $ign & YG),ScHoolboy Q; Ty Dolla $ign; YG,737610
446,okay,LANY; Julia Michaels,705351
447,Hey Look Ma I Made It,Panic! At The Disco,26320594
448,Stop Snitchin,YG,683454
449,Punto G,KAROL G,17793447
450,Juice,Lizzo,23425493
451,Out Of Love,Alessia Cara,14044875
452,Get You The Moon (feat. Snøw),Kina; Snøw,27322852
453,Clout (feat. Cardi B),Offset; Cardi B,26063671
454,Homicide,Logic; Eminem,26703849
455,If I Can't Have You,Shawn Mendes,104894812
456,Hold Me While You Wait,Lewis Capaldi,18789941
457,Joy,Bastille,842922
458,Vermissen (feat. Henning May),Juju; Henning May,25042148
459,Treat You Better,Shawn Mendes,4387500
460,Go Loko (feat. Tyga Jon Z),YG; Tyga; Jon Z,26365068
461,MIDDLE CHILD,PnB Rock,666105
462,Date La Vuelta,Luis Fonsi; Sebastian Yatra; Nicky Jam,12087142
463,Hey Julie! (feat. Lil Yachty),KYLE; Lil Yachty,4146065
464,There's Nothing Holdin' Me Back,Shawn Mendes,593223
465,Let Me Go (with Alesso Florida Georgia Line & watt),Hailee Steinfeld; Alesso; Florida Georgia Line; WATT,16800336
466,Beer Never Broke My Heart,Luke Combs,1399638
467,I Don't Care (with Justin Bieber),Ed Sheeran; Justin Bieber,148436341
468,Homicide (feat. Eminem),Logic; Eminem,46021808
469,Tough Love (feat. Agnes Vargas & Lagola),Avicii; Agnes; Vargas & Lagola,23597770
470,Soltera - Remix,Lunay; Daddy Yankee; Bad Bunny,57397243
471,Stay (Don't Go Away) [feat. Raye],David Guetta; RAYE,5528846
472,Nautilus,Shindy,12682374
473,Icy (feat. Gucci Mane),Logic; Gucci Mane,3677994
474,COMMANDO (feat. G-Eazy),Logic; G-Eazy,3134222
