ID,Track,Singer(s),Stream
373,Boyz (feat. Nicki Minaj),Jesy Nelson; Nicki Minaj,1019672
374,5X,Don Toliver,975361
375,Way Bigger,Don Toliver,904866
376,Prada (feat. Lil Tecca),24kGoldn; Lil Tecca,859445
377,What You Need,Don Toliver,847718
378,Venom - Remix,Eminem,815372
379,Acapulco,Jason Derulo,50758399
380,You (feat. Travis Scott),Don Toliver; Travis Scott,799162
381,Guapa,RAF Camora,794031
382,Trava na Pose Chama no Zoom Da um Close (feat. Mc Rennan),DJ Patrick Muniz; Dj Olliver; Mc Topre; Mc Rennan,27019981
383,Love In The Dark,Adele,54455898
384,Who Want Smoke?? (feat. G Herbo Lil Durk & 21 Savage),Nardo Wick; G Herbo; Lil Durk; 21 Savage,15509250
385,WFM,RealestK,28582136
386,I Love You So,The Walters,71906627
387,Infinity,Jaymes Young,28050287
388,Set Fire to the Rain,Adele,33900040
389,Tamed-Dashed,ENHYPEN,1569357
390,Careless Whisper,George Michael,23964998
391,Índigo,Camilo; Evaluna Montaner,58249103
392,Easy On Me,Adele,357000929
393,Send My Love (To Your New Lover),Adele,14802158
394,Sky,Playboi Carti,38492126
395,Let Somebody Go,Coldplay; Selena Gomez,27786158
396,Bubbly (with Drake & Travis Scott),Young Thug; Drake; Travis Scott,15739596
397,Santé,Stromae,2267754
398,Make You Feel My Love,Adele,9714790
399,Undeniable (feat. X Ambassadors),Kygo; X Ambassadors,3593062
400,Chasing Pavements,Adele,9986984
401,All I Ask,Adele,9754921
402,Hello,Adele,7865079
403,Faking Love (feat. Saweetie),Anitta; Saweetie,1127558
404,Livin It Up (with Post Malone & A$AP Rocky),Young Thug; A$AP Rocky; Post Malone,6541985
405,Stressed (with J. Cole & T-Shyne),Young Thug; J. Cole; T-Shyne,1112466
406,Higher Power,Coldplay,2709047
407,Rich Nigga Shit (with Juice WRLD),Young Thug; Juice WRLD,1076482
408,Here We Go,Mac Miller,1045102
409,Unfollow,Duki; Justin Quiles; Bizarrap,13733365
410,Die Slow (with Strick),Young Thug; Strick,863632
411,Rumour Has It,Adele,860603
412,Water Under the Bridge,Adele,833049
413,Späti,Gzuz,826054
414,Skyfall,Adele,817340
415,Putariazinha,Felipe Amorim,3218657
416,Toxic,BoyWithUke,80944102
417,masquerade,siouxxie sixxsta,22768116
418,Better Days (NEIKED x Mae Muller x Polo G),NEIKED; Mae Muller; Polo G,70674511
419,Moth To A Flame (with The Weeknd),Swedish House Mafia; The Weeknd,101111623
420,SG (with Ozuna Megan Thee Stallion & LISA of BLACKPINK),DJ Snake; Ozuna; Megan Thee Stallion; LISA,46675371
421,Not In The Mood (feat. Fivio Foreign & Kay Flock),Lil Tjay; Fivio Foreign; Kay Flock,5086995
422,Present,Khalid,2704615
423,If You Lie Down With Me,Lana Del Rey,988130
424,Dynamite,Sean Paul; Sia,806651
425,Rock with you,SEVENTEEN,804203
426,GALOPA,PEDRO SAMPAIO,28884361
427,Billie Jean,Michael Jackson,3155421
428,Nuestra Canción,Monsieur Periné; Vicente Garcia,20665986
429,GHOST TOWN,Benson Boone,41734115
430,The Hills,The Weeknd,9509808
431,Somebody's Watching Me,Rockwell,4066558
432,Dealer,Lana Del Rey,1507146
433,Salimo de Noche,Tiago PZK; Trueno,41877336
434,FEEL ME??,Trueno,17875589
435,Overpass Graffiti,Ed Sheeran,59001516
436,First Times,Ed Sheeran,9330243
437,Tides,Ed Sheeran,6767232
438,2step,Ed Sheeran,11902582
439,Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons; JID; Arcane; League of Legends,74983541
440,The Joker And The Queen,Ed Sheeran,4970041
441,Leave Your Life,Ed Sheeran,4786734
442,Collide,Ed Sheeran,4798225
443,Stop The Rain,Ed Sheeran,4580580
444,Love In Slow Motion,Ed Sheeran,3694505
445,Tell It To My Heart,MEDUZA; Hozier,3448485
446,Demon High,Lil Uzi Vert,1099725
447,Oh Na Na,Camila Cabello; Myke Towers; Tainy,2651288
448,Thriller,Michael Jackson,6171170
449,Sandman,Ed Sheeran,1880662
450,Be Right Now,Ed Sheeran,1006933
451,Mahvettim,cakal,3448902
452,Telepath,Conan Gray,984310
453,Dictadura,Anuel AA,5663244
